feature,group,source_a,source_b,jsd
iat_std,timing,cesnet_miner22,hikari2021,0.932388
iat_std,timing,cesnet_miner22,iot23_mcfp,0.727201
iat_std,timing,cj_sniffer,hikari2021,0.0
iat_std,timing,cj_sniffer,iot23_mcfp,0.0
iat_std,timing,hikari2021,iot23_mcfp,0.0
iat_min,timing,auto_capture_hf,cesnet_miner22,0.0
iat_min,timing,auto_capture_hf,cj_sniffer,0.0
iat_min,timing,auto_capture_hf,hikari2021,0.0
iat_min,timing,auto_capture_hf,iot23_mcfp,0.0
iat_min,timing,cesnet_miner22,cj_sniffer,0.0
iat_min,timing,cesnet_miner22,hikari2021,0.0
iat_min,timing,cesnet_miner22,iot23_mcfp,0.0
iat_min,timing,cj_sniffer,hikari2021,0.0
iat_min,timing,cj_sniffer,iot23_mcfp,0.0
iat_min,timing,hikari2021,iot23_mcfp,0.0
iat_max,timing,auto_capture_hf,cesnet_miner22,0.885802
iat_max,timing,auto_capture_hf,cj_sniffer,0.840077
iat_max,timing,auto_capture_hf,hikari2021,0.0
iat_max,timing,auto_capture_hf,iot23_mcfp,0.0
iat_max,timing,cesnet_miner22,cj_sniffer,0.829929
iat_max,timing,cesnet_miner22,hikari2021,0.932388
iat_max,timing,cesnet_miner22,iot23_mcfp,0.72751
iat_max,timing,cj_sniffer,hikari2021,0.0
iat_max,timing,cj_sniffer,iot23_mcfp,0.0
iat_max,timing,hikari2021,iot23_mcfp,0.0
iat_p10,timing,auto_capture_hf,cesnet_miner22,0.966712
iat_p10,timing,auto_capture_hf,cj_sniffer,0.679851
iat_p10,timing,auto_capture_hf,hikari2021,0.0
iat_p10,timing,auto_capture_hf,iot23_mcfp,0.0
iat_p10,timing,cesnet_miner22,cj_sniffer,0.734296
iat_p10,timing,cesnet_miner22,hikari2021,0.542711
iat_p10,timing,cesnet_miner22,iot23_mcfp,0.730138
iat_p10,timing,cj_sniffer,hikari2021,0.0
iat_p10,timing,cj_sniffer,iot23_mcfp,0.0
iat_p10,timing,hikari2021,iot23_mcfp,0.0
iat_p50,timing,auto_capture_hf,cesnet_miner22,0.906686
iat_p50,timing,auto_capture_hf,cj_sniffer,0.904209
iat_p50,timing,auto_capture_hf,hikari2021,0.0
iat_p50,timing,auto_capture_hf,iot23_mcfp,0.0
iat_p50,timing,cesnet_miner22,cj_sniffer,0.780617
iat_p50,timing,cesnet_miner22,hikari2021,0.971734
iat_p50,timing,cesnet_miner22,iot23_mcfp,0.727279
iat_p50,timing,cj_sniffer,hikari2021,0.0
iat_p50,timing,cj_sniffer,iot23_mcfp,0.0
iat_p50,timing,hikari2021,iot23_mcfp,0.0
iat_p90,timing,auto_capture_hf,cesnet_miner22,0.879176
iat_p90,timing,auto_capture_hf,cj_sniffer,0.803239
iat_p90,timing,auto_capture_hf,hikari2021,0.0
iat_p90,timing,auto_capture_hf,iot23_mcfp,0.0
iat_p90,timing,cesnet_miner22,cj_sniffer,0.799581
iat_p90,timing,cesnet_miner22,hikari2021,0.932388
iat_p90,timing,cesnet_miner22,iot23_mcfp,0.727279
iat_p90,timing,cj_sniffer,hikari2021,0.0
iat_p90,timing,cj_sniffer,iot23_mcfp,0.0
iat_p90,timing,hikari2021,iot23_mcfp,0.0
iat_cv,timing,auto_capture_hf,cesnet_miner22,0.824031
iat_cv,timing,auto_capture_hf,cj_sniffer,0.682518
iat_cv,timing,auto_capture_hf,hikari2021,0.0
iat_cv,timing,auto_capture_hf,iot23_mcfp,0.0
iat_cv,timing,cesnet_miner22,cj_sniffer,0.832367
iat_cv,timing,cesnet_miner22,hikari2021,0.932388
iat_cv,timing,cesnet_miner22,iot23_mcfp,0.727201
iat_cv,timing,cj_sniffer,hikari2021,0.0
iat_cv,timing,cj_sniffer,iot23_mcfp,0.0
iat_cv,timing,hikari2021,iot23_mcfp,0.0
iat_entropy,timing,auto_capture_hf,cesnet_miner22,0.815379
iat_entropy,timing,auto_capture_hf,cj_sniffer,0.665863
iat_entropy,timing,auto_capture_hf,hikari2021,0.0
iat_entropy,timing,auto_capture_hf,iot23_mcfp,0.0
iat_entropy,timing,cesnet_miner22,cj_sniffer,0.717768
iat_entropy,timing,cesnet_miner22,hikari2021,0.992815
iat_entropy,timing,cesnet_miner22,iot23_mcfp,0.727201
iat_entropy,timing,cj_sniffer,hikari2021,0.0
iat_entropy,timing,cj_sniffer,iot23_mcfp,0.0
iat_entropy,timing,hikari2021,iot23_mcfp,0.0
iat_zero_ratio,timing,auto_capture_hf,cesnet_miner22,0.815434
iat_zero_ratio,timing,auto_capture_hf,cj_sniffer,0.78916
iat_zero_ratio,timing,auto_capture_hf,hikari2021,0.0
iat_zero_ratio,timing,auto_capture_hf,iot23_mcfp,0.0
iat_zero_ratio,timing,cesnet_miner22,cj_sniffer,0.864805
iat_zero_ratio,timing,cesnet_miner22,hikari2021,1.0
iat_zero_ratio,timing,cesnet_miner22,iot23_mcfp,1.0
iat_zero_ratio,timing,cj_sniffer,hikari2021,0.0
iat_zero_ratio,timing,cj_sniffer,iot23_mcfp,0.0
iat_zero_ratio,timing,hikari2021,iot23_mcfp,0.0
iat_small_ratio_10ms,timing,auto_capture_hf,cesnet_miner22,0.870099
iat_small_ratio_10ms,timing,auto_capture_hf,cj_sniffer,0.93514
iat_small_ratio_10ms,timing,auto_capture_hf,hikari2021,0.0
iat_small_ratio_10ms,timing,auto_capture_hf,iot23_mcfp,0.0
iat_small_ratio_10ms,timing,cesnet_miner22,cj_sniffer,0.677864
iat_small_ratio_10ms,timing,cesnet_miner22,hikari2021,1.0
iat_small_ratio_10ms,timing,cesnet_miner22,iot23_mcfp,0.800854
iat_small_ratio_10ms,timing,cj_sniffer,hikari2021,0.0
iat_small_ratio_10ms,timing,cj_sniffer,iot23_mcfp,0.0
iat_small_ratio_10ms,timing,hikari2021,iot23_mcfp,0.0
fwd_iat_mean,timing,auto_capture_hf,cesnet_miner22,0.841984
fwd_iat_mean,timing,auto_capture_hf,cj_sniffer,0.833698
fwd_iat_mean,timing,auto_capture_hf,hikari2021,0.0
fwd_iat_mean,timing,auto_capture_hf,iot23_mcfp,0.0
fwd_iat_mean,timing,cesnet_miner22,cj_sniffer,0.860018
fwd_iat_mean,timing,cesnet_miner22,hikari2021,0.542711
fwd_iat_mean,timing,cesnet_miner22,iot23_mcfp,0.727433
fwd_iat_mean,timing,cj_sniffer,hikari2021,0.0
fwd_iat_mean,timing,cj_sniffer,iot23_mcfp,0.0
fwd_iat_mean,timing,hikari2021,iot23_mcfp,0.0
bwd_iat_mean,timing,auto_capture_hf,cesnet_miner22,0.864537
bwd_iat_mean,timing,auto_capture_hf,cj_sniffer,0.794862
bwd_iat_mean,timing,auto_capture_hf,hikari2021,0.0
bwd_iat_mean,timing,auto_capture_hf,iot23_mcfp,0.0
bwd_iat_mean,timing,cesnet_miner22,cj_sniffer,0.507531
bwd_iat_mean,timing,cesnet_miner22,hikari2021,0.932388
bwd_iat_mean,timing,cesnet_miner22,iot23_mcfp,0.727201
bwd_iat_mean,timing,cj_sniffer,hikari2021,0.0
bwd_iat_mean,timing,cj_sniffer,iot23_mcfp,0.0
